Dimension,points,sampling_method,relative_error_average
2,250,Sobol,0.011331932423867014
2,250,Rand,0.03193703537479434
2,500,Sobol,0.01714069807862902
2,500,Rand,0.042706086164476215
2,1000,Sobol,0.01141955840962378
2,1000,Rand,0.03415690883100926
2,2000,Sobol,0.007701773296475976
2,2000,Rand,0.026225085246500437
2,4000,Sobol,0.0064007147258569996
2,4000,Rand,0.022504933832025342
4,500,Sobol,0.01873541786411564
4,500,Rand,0.035183240724909436
4,1000,Sobol,0.014467941323458307
4,1000,Rand,0.030786118766411602
4,2000,Sobol,0.010556512059135726
4,2000,Rand,0.026561025683188532
4,4000,Sobol,0.008075762857252823
4,4000,Rand,0.02041010234192317
8,500,Sobol,0.020737104465837007
8,500,Rand,0.024514176027773026
8,1000,Sobol,0.015714442559316026
8,1000,Rand,0.022082574719509165
8,2000,Sobol,0.0116073373978684
8,2000,Rand,0.02029709774185787
8,10000,Sobol,0.00813946591273367
8,10000,Rand,0.011550613023065306
16,2000,Sobol,0.008612702758403517
16,2000,Rand,0.020753507300525338
16,5000,Sobol,0.006862960634114892
16,5000,Rand,0.013506486205374296
16,10000,Sobol,0.00536067311815995
16,10000,Rand,0.011382853965643997
16,20000,Sobol,0.004623237131712757
16,20000,Rand,0.012297523070075964
