Dimension,points,sampling_method,relative_error_average
2,10000,Rand,0.013138405610942146
2,250,Sobol,0.011217999867064316
2,100000,Rand,0.0065360242032448754
2,500,Sobol,0.0074841657432073334
4,10000,Rand,0.020778330071951078
4,500,Sobol,0.014218503121814127
4,100000,Rand,0.004621667036113853
4,2000,Sobol,0.003289267842069127
8,10000,Rand,0.026860326229893303
8,1000,Sobol,0.027352751730443475
8,100000,Rand,0.025154122490097176
8,2000,Sobol,0.02424874673825461
16,100000,Rand,0.03851845781957104
16,1000,Sobol,0.032667848650041076
16,100000,Rand,0.027804823940087642
16,5000,Sobol,0.02920469526250838
