Dimension,points,sampling_method,relative_error_average
2,250,Sobol,0.011217999867064316
2,250,Rand,0.02957110679696274
2,500,Sobol,0.0074841657432073334
2,500,Rand,0.026754432399889158
2,1000,Sobol,0.00431357037969637
2,1000,Rand,0.022571933260848085
2,2000,Sobol,0.0031399991836972892
2,2000,Rand,0.01991441826937119
4,500,Sobol,0.014218503121814127
4,500,Rand,0.03930533795389348
4,1000,Sobol,0.00918516529954361
4,1000,Rand,0.03698995919068709
4,2000,Sobol,0.003289267842069127
4,2000,Rand,0.024778833970371953
4,5000,Sobol,0.00264946172069877
4,5000,Rand,0.020152021986704807
8,500,Sobol,0.038542158873779674
8,500,Rand,0.07787392502436628
8,1000,Sobol,0.027352751730443475
8,1000,Rand,0.062379185482487456
8,2000,Sobol,0.02424874673825461
8,2000,Rand,0.05465935918685797
8,10000,Sobol,0.018234845991437133
8,10000,Rand,0.026860326229893303
16,1000,Sobol,0.032667848650041076
16,1000,Rand,0.06057251613875352
16,2000,Sobol,0.02930783642703378
16,2000,Rand,0.058566491163388884
16,5000,Sobol,0.02920469526250838
16,5000,Rand,0.048034849457328783
16,10000,Sobol,0.0156355964492402
16,10000,Rand,0.03851845781957104
16,20000,Sobol,0.015361094893956971
16,20000,Rand,0.02877520140139793
