Dimension,points,sampling_method,relative_error_average
2,250,Sobol,0.00807932203776993
2,250,Rand,0.016150732350942273
2,500,Sobol,0.004176339945410723
2,500,Rand,0.015027489158446778
2,1000,Sobol,0.002085635195961678
2,1000,Rand,0.010101399237785923
2,2000,Sobol,0.0014697738634013048
2,2000,Rand,0.008327350545847616
4,500,Sobol,0.0044335146414771305
4,500,Rand,0.017621756383469477
4,1000,Sobol,0.00372857338675102
4,1000,Rand,0.01254957425789191
4,2000,Sobol,0.0031595867618396008
4,2000,Rand,0.009799263796362806
4,4000,Sobol,0.002651408327936041
4,4000,Rand,0.00752999065107438
8,500,Sobol,0.011770139950756486
8,500,Rand,0.038285257052872085
8,1000,Sobol,0.008988535088895412
8,1000,Rand,0.030505046022350674
8,2000,Sobol,0.008780492641790942
8,2000,Rand,0.029660681830151574
8,10000,Sobol,0.007643110529574511
8,10000,Rand,0.016551596014858127
16,1000,Sobol,0.012181121477021736
16,1000,Rand,0.03139838615183318
16,2000,Sobol,0.011250011129351103
16,2000,Rand,0.02205457798514046
16,5000,Sobol,0.008997705164399078
16,5000,Rand,0.019235285039360044
16,10000,Sobol,0.007697734968840245
16,10000,Rand,0.015243959422455638
